1,15,14,3,2,10,6,4,5,9,8,7,13,11,12
1,15,2,4,3,8,7,5,6,14,9,13,11,10,12
1,15,2,7,3,4,5,6,8,14,9,12,11,10,13
15,2,1,14,3,5,4,13,12,7,6,8,9,11,10
14,1,2,7,6,3,4,5,8,13,12,9,11,10,15
15,14,3,2,1,13,4,9,8,5,7,6,12,11,10
1,14,11,2,10,9,3,6,4,5,8,7,13,12,15
13,1,2,12,3,4,11,10,5,6,9,8,7,14,15
15,12,3,2,1,4,8,5,7,6,9,11,10,13,14
1,4,2,3,15,11,5,8,7,6,9,10,14,12,13
15,12,1,11,3,2,4,10,6,5,9,8,7,13,14
10,1,9,8,7,2,3,6,4,5,11,15,12,14,13
3,2,1,15,14,5,4,6,7,8,13,9,10,11,12
15,14,9,1,2,4,3,7,6,5,8,12,11,10,13
9,8,2,1,4,3,7,5,6,15,10,14,12,11,13
5,4,1,3,2,6,10,9,8,7,15,12,11,14,13
15,1,14,12,11,2,3,4,5,8,6,7,10,9,13
1,15,13,12,2,7,6,3,5,4,11,9,8,10,14
15,13,1,12,2,10,3,8,6,4,5,7,9,11,14
13,12,4,1,2,3,11,6,5,7,10,9,8,14,15
14,13,12,2,1,4,3,7,6,5,9,8,10,11,15
8,7,1,4,2,3,6,5,14,11,9,10,13,12,15
2,1,6,3,4,5,15,8,7,9,14,11,10,12,13
3,2,1,15,12,5,4,10,8,6,7,9,11,14,13
1,4,3,2,5,6,8,7,14,12,11,9,10,13,15
15,14,11,1,10,7,6,4,2,3,5,8,9,13,12
1,2,15,3,4,5,14,6,13,12,10,7,9,8,11
6,5,4,3,2,1,15,7,10,8,9,14,13,11,12
1,2,15,14,4,3,7,5,6,13,10,9,8,11,12
12,9,8,1,2,7,6,5,3,4,11,10,14,13,15
6,1,2,5,3,4,15,11,10,9,7,8,12,13,14
15,7,5,4,1,3,2,6,8,10,9,11,12,13,14
12,11,9,7,1,2,3,6,4,5,8,10,13,15,14
15,13,12,1,2,11,10,6,3,5,4,8,7,9,14
1,15,7,5,3,2,4,6,10,8,9,13,12,11,14
15,1,2,14,5,4,3,7,6,13,9,8,10,12,11
4,1,3,2,6,5,10,9,8,7,13,11,12,15,14
10,9,1,6,3,2,5,4,8,7,15,14,13,12,11
1,3,2,14,6,4,5,7,8,9,13,12,10,11,15
1,15,12,11,2,5,3,4,6,10,9,7,8,14,13
1,6,3,2,5,4,15,14,7,13,10,8,9,12,11
1,15,13,10,3,2,9,4,8,7,6,5,11,12,14
15,14,1,7,4,3,2,6,5,9,8,13,11,10,12
2,1,15,13,3,6,4,5,12,11,9,7,8,10,14
10,9,8,6,2,1,5,4,3,7,15,14,11,13,12
1,3,2,6,4,5,15,7,14,8,13,10,9,12,11
10,1,2,9,4,3,7,5,6,8,14,11,12,13,15
1,7,6,3,2,5,4,13,12,11,9,8,10,14,15
2,1,15,11,4,3,7,6,5,10,9,8,12,14,13
15,4,3,1,2,5,14,6,7,8,9,10,13,12,11
10,2,1,5,4,3,6,9,7,8,11,12,13,15,14
