21,20,19,15,14,7,1,2,6,3,5,4,9,8,10,11,13,12,16,17,18,31,30,29,28,27,23,22,24,25,26
31,29,23,22,2,1,3,4,21,5,6,20,17,8,7,9,14,12,10,11,13,15,16,18,19,26,25,24,28,27,30
3,2,1,20,6,4,5,19,15,14,13,7,9,8,12,11,10,18,17,16,24,23,22,21,31,25,26,27,29,28,30
1,6,5,2,4,3,31,29,9,7,8,28,21,12,11,10,20,15,14,13,16,19,18,17,26,25,24,22,23,27,30
31,2,1,4,3,20,11,5,10,9,6,8,7,12,13,18,17,15,14,16,19,21,29,28,25,24,23,22,26,27,30
31,24,14,11,10,9,1,8,2,4,3,5,7,6,13,12,15,16,19,18,17,20,21,23,22,25,30,26,29,27,28
2,1,27,3,4,5,15,6,7,8,10,9,11,12,14,13,26,17,16,19,18,20,21,23,22,25,24,31,28,30,29
10,9,1,2,6,3,4,5,7,8,31,30,11,18,15,14,13,12,17,16,20,19,29,21,22,23,24,27,26,25,28
1,31,18,16,12,11,4,2,3,10,9,8,6,5,7,15,13,14,17,19,22,21,20,30,28,24,23,27,26,25,29
15,14,13,1,2,3,12,8,7,6,4,5,9,10,11,16,17,18,31,24,19,20,21,23,22,25,30,28,26,27,29
31,1,17,16,2,7,6,5,4,3,14,12,8,10,9,11,13,15,26,23,22,21,19,18,20,25,24,30,29,27,28
1,2,31,5,3,4,20,6,19,9,8,7,18,10,13,11,12,15,14,16,17,21,30,29,22,28,23,27,26,25,24
1,2,26,3,25,24,4,23,5,18,6,16,7,8,15,9,10,14,11,13,12,17,22,19,20,21,30,27,28,29,31
2,1,3,20,4,19,5,18,7,6,9,8,17,12,10,11,13,16,14,15,26,25,24,22,21,23,31,30,29,27,28
7,2,1,5,3,4,6,8,9,31,25,22,10,11,21,13,12,18,16,14,15,17,19,20,24,23,30,26,27,28,29
1,21,3,2,5,4,20,12,8,6,7,11,9,10,14,13,19,15,17,16,18,22,23,31,25,24,30,26,27,28,29
31,30,29,28,26,25,4,3,1,2,13,5,12,8,7,6,9,11,10,14,21,15,19,18,17,16,20,22,24,23,27
31,5,1,2,4,3,9,7,6,8,29,14,10,12,11,13,26,25,23,19,18,17,15,16,22,20,21,24,28,27,30
3,2,1,31,30,28,13,10,5,4,9,8,6,7,12,11,15,14,27,17,16,19,18,25,20,22,21,24,23,26,29
31,28,24,22,1,17,15,2,3,4,8,7,5,6,9,14,13,10,11,12,16,21,20,19,18,23,27,25,26,30,29
20,6,5,4,1,3,2,19,8,7,18,12,11,10,9,17,15,14,13,16,26,25,21,24,23,22,31,30,29,27,28
9,2,1,4,3,5,6,8,7,10,30,29,11,27,12,13,19,18,17,14,16,15,26,25,20,24,23,21,22,28,31
31,29,28,1,12,6,4,2,3,5,11,7,10,8,9,27,15,13,14,17,16,25,18,23,19,20,22,21,24,26,30
21,1,20,19,2,3,4,5,11,10,6,7,8,9,12,14,13,15,17,16,18,28,23,22,24,25,27,26,30,29,31
31,30,16,1,8,4,2,3,7,5,6,13,11,9,10,12,15,14,17,29,23,20,18,19,22,21,28,26,24,25,27
30,1,2,13,12,11,10,5,3,4,9,8,7,6,26,14,25,24,23,15,16,18,17,21,20,19,22,27,29,28,31
3,2,1,4,31,20,5,6,9,8,7,19,18,11,10,17,16,12,15,14,13,30,21,29,28,22,24,23,26,25,27
31,26,1,3,2,25,23,4,22,5,6,21,12,10,7,9,8,11,13,17,14,15,16,19,18,20,24,27,28,30,29
31,4,2,1,3,6,5,27,26,20,19,10,9,7,8,17,11,13,12,14,16,15,18,25,21,24,22,23,30,29,28
1,2,3,4,5,31,6,13,11,9,8,7,10,12,28,24,23,19,18,15,14,17,16,22,20,21,25,27,26,29,30
30,3,1,2,29,28,27,19,16,14,13,11,10,4,9,8,7,6,5,12,15,17,18,26,22,20,21,23,24,25,31
31,1,25,2,23,22,21,3,6,5,4,20,7,16,15,8,14,13,11,9,10,12,18,17,19,24,26,28,27,30,29
31,25,24,3,2,1,15,4,14,8,6,5,7,13,12,10,9,11,23,16,20,18,17,19,22,21,26,30,28,27,29
1,2,30,3,29,28,4,5,7,6,27,11,9,8,10,17,12,13,16,14,15,18,20,19,26,23,21,22,24,25,31
31,30,3,2,1,5,4,29,26,25,11,6,9,8,7,10,12,24,13,23,16,14,15,22,17,20,19,18,21,27,28
26,20,18,7,1,3,2,5,4,6,8,15,14,9,10,13,11,12,16,17,19,25,21,22,23,24,31,30,29,27,28
1,2,28,6,5,3,4,13,7,8,12,9,10,11,27,14,25,23,16,15,17,19,18,22,21,20,24,26,31,29,30
27,1,26,13,4,2,3,12,11,7,5,6,9,8,10,25,14,15,16,17,23,19,18,22,20,21,24,28,30,29,31
25,24,3,1,2,23,4,12,5,10,9,8,7,6,11,13,14,15,16,18,17,19,22,20,21,31,29,27,26,28,30
30,29,28,1,27,2,25,4,3,5,24,8,6,7,20,19,9,15,10,11,14,13,12,18,16,17,21,22,23,26,31
29,28,1,2,27,26,14,4,3,8,5,6,7,11,9,10,13,12,15,16,25,24,18,17,23,19,22,21,20,31,30
1,31,27,15,14,2,3,13,4,12,10,6,5,9,8,7,11,19,16,18,17,26,20,21,22,25,23,24,30,28,29
31,22,20,19,2,1,5,4,3,18,17,16,7,6,8,15,9,14,10,13,12,11,21,30,26,23,25,24,29,27,28
29,25,1,2,12,5,4,3,11,8,7,6,10,9,24,22,13,21,14,15,19,18,16,17,20,23,27,26,28,31,30
31,30,21,8,1,6,5,2,4,3,7,20,18,17,16,15,12,9,10,11,13,14,19,23,22,25,24,28,27,26,29
1,31,2,5,3,4,6,11,8,7,10,9,30,12,29,27,26,25,13,20,18,17,15,14,16,19,24,23,21,22,28
26,25,24,9,8,7,1,6,5,2,3,4,23,22,20,16,10,15,11,14,13,12,19,17,18,21,31,29,28,27,30
31,1,30,2,3,29,28,27,26,24,4,5,6,13,7,12,9,8,10,11,23,14,18,15,16,17,19,21,20,22,25
1,26,20,19,2,11,4,3,6,5,8,7,10,9,18,12,17,14,13,15,16,21,22,24,23,25,31,27,30,29,28
1,2,31,29,28,4,3,10,9,8,6,5,7,12,11,27,13,26,14,25,20,16,15,18,17,19,24,23,21,22,30
1,31,2,3,30,28,27,23,4,6,5,22,7,9,8,10,21,15,14,13,12,11,16,18,17,19,20,26,25,24,29
31,1,26,21,17,2,16,3,10,6,5,4,9,7,8,15,11,12,14,13,20,19,18,25,22,23,24,30,28,27,29
28,3,2,1,27,4,26,6,5,22,7,20,18,17,16,10,9,8,12,11,13,14,15,19,21,23,25,24,29,30,31
5,1,3,2,4,31,24,7,6,10,9,8,18,17,16,15,11,14,12,13,20,19,21,23,22,25,26,30,29,27,28
1,31,29,27,2,3,26,25,24,8,4,6,5,7,23,22,10,9,21,16,11,14,12,13,15,17,19,18,20,28,30
31,30,1,29,28,27,24,22,2,4,3,21,5,6,7,20,8,9,10,11,17,15,12,14,13,16,19,18,23,25,26
13,11,10,1,8,2,3,7,6,5,4,9,12,14,23,15,22,16,17,19,18,21,20,28,24,27,25,26,29,31,30
31,1,30,2,29,3,5,4,6,27,26,7,25,19,9,8,18,10,11,13,12,17,15,14,16,20,21,24,23,22,28
31,30,16,2,1,14,13,9,8,7,3,6,5,4,12,11,10,15,29,18,17,28,27,25,19,23,20,22,21,24,26
1,30,18,9,2,7,3,4,5,6,8,10,17,16,11,15,14,13,12,19,29,28,20,27,21,22,26,23,25,24,31
31,2,1,30,27,26,19,13,12,3,7,4,5,6,10,8,9,11,17,15,14,16,18,24,20,21,22,23,25,28,29
31,2,1,11,9,3,8,7,6,5,4,10,30,14,12,13,15,28,16,26,25,23,20,19,18,17,21,22,24,27,29
31,2,1,16,4,3,14,6,5,11,10,7,8,9,13,12,15,17,20,18,19,21,22,23,24,30,26,25,29,27,28
31,3,2,1,30,15,14,5,4,7,6,8,13,12,11,10,9,28,27,19,18,16,17,26,21,20,22,23,24,25,29
1,4,2,3,30,28,26,25,24,6,5,19,8,7,9,18,11,10,12,14,13,15,17,16,23,20,21,22,27,29,31
1,31,22,21,19,18,2,12,9,3,4,8,7,5,6,11,10,13,17,15,14,16,20,23,24,25,29,28,27,26,30
31,1,22,2,20,12,4,3,9,6,5,8,7,11,10,16,13,15,14,17,18,19,21,30,24,23,29,27,26,25,28
31,15,13,12,6,3,2,1,4,5,7,8,9,10,11,14,30,16,26,23,22,21,17,18,20,19,24,25,29,27,28
2,1,30,29,3,28,4,27,9,6,5,8,7,20,19,18,16,15,11,10,14,12,13,17,21,26,23,22,25,24,31
3,1,2,8,6,4,5,7,31,17,9,10,16,15,13,11,12,14,18,22,21,20,19,24,23,25,26,27,30,28,29
2,1,31,29,19,18,17,14,13,10,8,4,3,7,6,5,9,11,12,15,16,20,21,22,28,25,24,23,26,27,30
31,4,1,2,3,15,6,5,13,12,11,7,8,9,10,14,16,18,17,30,19,26,20,21,25,22,24,23,28,27,29
9,1,8,2,7,3,6,5,4,10,31,11,29,28,27,12,18,14,13,17,15,16,19,21,20,22,26,23,24,25,30
29,28,27,1,4,2,3,26,5,24,7,6,22,10,8,9,20,19,11,12,14,13,18,15,17,16,21,23,25,31,30
1,31,4,3,2,18,12,5,6,11,7,8,9,10,17,13,16,14,15,19,23,22,20,21,25,24,30,26,27,28,29
31,1,10,9,2,8,7,3,5,4,6,11,14,12,13,30,29,26,25,24,16,15,18,17,19,20,21,22,23,27,28
30,3,1,2,29,28,26,4,25,22,21,20,5,6,19,7,18,17,16,8,15,14,9,13,11,10,12,24,23,27,31
31,29,28,1,2,25,17,3,5,4,6,7,16,15,13,12,8,11,10,9,14,18,24,22,20,19,21,23,27,26,30
21,1,5,2,3,4,7,6,15,14,8,12,9,11,10,13,18,17,16,20,19,25,24,22,23,31,26,30,29,27,28
12,10,6,1,2,3,4,5,7,9,8,11,28,27,23,20,17,16,14,13,15,19,18,21,22,24,25,26,31,29,30
16,2,1,15,13,3,4,5,10,6,7,9,8,11,12,14,17,31,18,25,20,19,21,24,23,22,30,28,26,27,29
1,6,5,3,2,4,7,27,25,8,24,10,9,18,17,16,12,11,15,14,13,23,22,20,19,21,26,31,28,30,29
1,29,3,2,26,6,5,4,22,19,8,7,18,16,15,12,10,9,11,13,14,17,20,21,25,24,23,28,27,30,31
31,1,2,29,27,23,5,4,3,21,20,6,19,18,14,8,7,11,9,10,13,12,16,15,17,22,26,24,25,28,30
27,25,24,23,6,1,4,3,2,5,7,10,8,9,18,17,15,13,11,12,14,16,20,19,22,21,26,31,29,28,30
4,2,1,3,31,5,6,30,22,9,7,8,11,10,18,15,12,14,13,17,16,20,19,21,26,23,25,24,27,29,28
31,3,1,2,27,6,5,4,7,15,14,8,13,11,10,9,12,16,17,18,19,26,20,24,21,23,22,25,28,30,29
27,23,22,2,1,21,3,8,4,7,6,5,17,14,9,11,10,12,13,15,16,18,20,19,26,25,24,29,28,30,31
23,1,2,7,5,3,4,6,8,21,16,9,14,10,13,12,11,15,19,17,18,20,22,30,29,28,24,25,26,27,31
4,3,2,1,6,5,8,7,31,30,9,25,24,22,11,10,13,12,14,21,18,17,15,16,20,19,23,28,27,26,29
1,31,11,3,2,4,5,8,7,6,10,9,29,28,27,25,18,17,16,12,15,14,13,20,19,24,23,21,22,26,30
19,18,1,17,16,2,5,4,3,6,11,10,8,7,9,15,14,13,12,31,23,21,20,22,26,25,24,28,27,29,30
2,1,31,3,12,4,10,9,8,5,6,7,11,16,13,14,15,17,28,27,18,26,23,22,20,19,21,25,24,29,30
28,27,26,24,1,3,2,4,23,5,6,7,8,9,10,21,11,15,12,14,13,17,16,20,18,19,22,25,30,29,31
30,1,3,2,15,4,6,5,10,9,8,7,11,14,13,12,29,16,28,25,24,19,17,18,23,22,21,20,27,26,31
1,30,3,2,29,26,4,7,6,5,8,15,9,11,10,13,12,14,25,16,23,22,19,18,17,21,20,24,28,27,31
27,1,22,19,3,2,6,5,4,10,7,8,9,14,13,12,11,17,15,16,18,21,20,23,26,24,25,29,28,31,30
1,30,13,12,11,10,9,2,7,3,5,4,6,8,16,15,14,17,18,19,22,21,20,25,23,24,28,27,26,29,31
1,31,27,26,25,20,2,4,3,16,15,14,11,7,5,6,10,8,9,13,12,19,18,17,24,22,21,23,28,30,29
1,27,25,24,2,22,21,20,13,3,4,5,6,12,11,7,8,10,9,14,16,15,17,18,19,23,26,28,29,31,30
